STRG.109515.1.p1	XM_040695128.2	STRG.109515
STRG.83934.1.p1	SFW04942.1	STRG.83934
STRG.68162.1.p2	XM_019622144.2	STRG.68162
STRG.90178.1.p1	XM_040685307.1	STRG.90178
STRG.83059.1.p1	MCQ4179288.1	STRG.83059
STRG.29167.1.p1	4-XM_040659592.1	STRG.29167
STRG.110928.1.p4	4-SGA33918.1	STRG.110928
STRG.8267.1.p1	PKU43422.1	STRG.8267
STRG.99331.1.p6	KFO80809.1	STRG.99331
STRG.90340.1.p2	SGA33903.1	STRG.90340
STRG.20399.5.p1	KAK4819456.1	STRG.20399
STRG.74015.1.p1	XM_052665399.1	STRG.74015
STRG.110139.1.p4	5-SGA33918.1	STRG.110139
STRG.85242.1.p2	5-EPP37534.1	STRG.85242
STRG.5481.1.p1	2-MCQ4179288.1	STRG.5481
STRG.40197.5.p1	3-XM_052665711.1	STRG.40197
STRG.40655.2.p1	MCQ4179290.1	STRG.40655
STRG.89350.1.p2	KAK4828861.1	STRG.89350
STRG.64823.1.p1	SFW05151.1	STRG.64823
STRG.82263.15.p1	2-XM_048947294.1	STRG.82263
STRG.66920.1.p1	XM_046902431.1	STRG.66920
STRG.75405.1.p5	XM_046933501.1	STRG.75405
STRG.109948.1.p1	SGA24805.1	STRG.109948
STRG.46333.1.p1	KAK4810673.1	STRG.46333
STRG.109311.1.p1	XM_031611927.1	STRG.109311
STRG.20149.9.p1	3-MCQ4179288.1	STRG.20149
STRG.81587.1.p1	4-XM_052665711.1	STRG.81587
STRG.111385.1.p1	3-SGA34061.1	STRG.111385
STRG.10053.4.p1	3-XM_048947294.1	STRG.10053
STRG.87231.2.p1	KAK4827580.1	STRG.87231
STRG.15132.2.p1	XM_040665525.2	STRG.15132
STRG.109235.1.p3	6-SGA33918.1	STRG.109235
STRG.81028.1.p1	KAK4810664.1	STRG.81028
STRG.12260.2.p1	5-XM_052665711.1	STRG.12260
STRG.45482.1.p2	XM_042836780.1	STRG.45482
STRG.34202.1.p11	XM_040665274.2	STRG.34202
STRG.91438.3.p1	NM_205436.2	STRG.91438
STRG.97148.1.p1	SGA23176.1	STRG.97148
STRG.90168.1.p1	XM_025155900.2	STRG.90168
STRG.85859.1.p1	2-XM_048930376.1	STRG.85859
STRG.92265.1.p1	KAK4805230.1	STRG.92265
STRG.11147.31.p1	XM_048930342.1	STRG.11147
STRG.101490.1.p2	RMC03812.1	STRG.101490
STRG.66900.1.p1	XM_040650129.2	STRG.66900
STRG.57608.1.p3	XM_031555186.1	STRG.57608
STRG.59885.1.p10	KAK4824175.1	STRG.59885
STRG.39758.17.p2	KAK4830415.1	STRG.39758
STRG.46237.1.p1	POI18674.1	STRG.46237
STRG.80187.1.p1	XM_048930377.1	STRG.80187
STRG.75618.5.p1	XM_031612331.1	STRG.75618
STRG.10881.11.p1	KAK4818318.1	STRG.10881
STRG.7791.5.p1	XM_040653665.2	STRG.7791
STRG.100905.2.p1	XM_044985712.1	STRG.100905
STRG.29379.64.p1	XM_040694160.2	STRG.29379
STRG.71900.2.p1	XM_048941876.1	STRG.71900
STRG.70995.1.p2	EPP35180.1	STRG.70995
STRG.88557.1.p1	KAK4810514.1	STRG.88557
STRG.14293.1.p1	4-MCQ4179288.1	STRG.14293
STRG.111451.1.p3	2-XM_040695137.1	STRG.111451
STRG.21448.2.p1	2-SFW04806.1	STRG.21448
STRG.84381.1.p2	6-EPP37534.1	STRG.84381
STRG.107214.1.p1	3-XM_040695137.1	STRG.107214
STRG.102926.2.p1	SGA33957.1	STRG.102926
STRG.100234.1.p1	XM_054183912.1	STRG.100234
STRG.65897.1.p1	SGA34009.1	STRG.65897
STRG.109149.1.p3	2-XM_048959965.1	STRG.109149
STRG.49648.1.p1	XM_040674227.2	STRG.49648
STRG.90234.1.p1	2-XM_025155900.2	STRG.90234
STRG.8323.1.p1	KAK4832220.1	STRG.8323
STRG.13596.1.p1	PKU41526.1	STRG.13596
STRG.44765.1.p2	XM_038134561.1	STRG.44765
STRG.8774.2.p1	5-XM_040659592.1	STRG.8774
STRG.29147.1.p4	AAR28760.1	STRG.29147
STRG.10878.1.p1	KAF4801870.1	STRG.10878
STRG.78468.2.p1	XM_025144565.3	STRG.78468
STRG.10165.1.p1	XM_040655262.2	STRG.10165
STRG.64487.1.p1	KAK4819429.1	STRG.64487
STRG.95656.1.p1	2-XM_025144565.3	STRG.95656
STRG.61027.93.p1	XM_040682652.2	STRG.61027
STRG.84199.1.p2	7-EPP37534.1	STRG.84199
STRG.12262.1.p1	AAC60280.1	STRG.12262
STRG.107677.1.p1	SGA34039.1	STRG.107677
STRG.109850.1.p1	7-SGA33918.1	STRG.109850
STRG.46227.1.p3	XM_021382351.1	STRG.46227
STRG.72087.3.p3	KAK4816622.1	STRG.72087
STRG.84285.1.p2	8-EPP37534.1	STRG.84285
STRG.109774.1.p1	XM_042828189.1	STRG.109774
STRG.13806.1.p1	6-XM_040659592.1	STRG.13806
STRG.89363.18.p1	6-XM_052665711.1	STRG.89363
STRG.74380.1.p1	MCQ4187459.1	STRG.74380
STRG.90138.1.p1	3-XM_025155900.2	STRG.90138
STRG.88932.5.p3	KFU97725.1	STRG.88932
STRG.38938.2.p1	3-AAA49027.1	STRG.38938
STRG.8727.18.p4	XM_021391996.1	STRG.8727
STRG.49638.1.p1	XM_040705996.2	STRG.49638
STRG.27761.1.p1	4-AAA49027.1	STRG.27761
STRG.90070.1.p1	EPJ32512.1	STRG.90070
STRG.54592.1.p2	XM_052666317.1	STRG.54592
STRG.21537.13.p1	7-XM_052665711.1	STRG.21537
STRG.110820.1.p2	4-XM_040695137.1	STRG.110820
STRG.90224.1.p1	XM_040685251.2	STRG.90224
STRG.85915.1.p1	5-MCQ4078419.1	STRG.85915
STRG.96267.1.p1	XM_021382941.1	STRG.96267
STRG.99071.1.p1	EOA97796.1	STRG.99071
STRG.84419.1.p2	9-EPP37534.1	STRG.84419
STRG.65451.6.p1	2-SGA23176.1	STRG.65451
STRG.107743.1.p1	4-SGA34061.1	STRG.107743
STRG.109908.1.p2	5-XM_040695137.1	STRG.109908
STRG.84189.1.p2	10-EPP37534.1	STRG.84189
STRG.88613.1.p1	MCQ4078389.1	STRG.88613
STRG.100204.1.p1	XM_021381764.1	STRG.100204
STRG.82146.2.p1	2-MCQ4179290.1	STRG.82146
STRG.22190.20.p1	5-AAA49027.1	STRG.22190
STRG.61046.1.p1	XM_040647071.2	STRG.61046
STRG.37923.6.p1	4-XM_048947294.1	STRG.37923
STRG.92301.1.p1	XM_021383324.1	STRG.92301
STRG.45523.8.p2	XM_052682933.1	STRG.45523
STRG.12945.1.p1	XM_046923367.1	STRG.12945
STRG.71576.1.p1	POI30629.1	STRG.71576
STRG.17684.1.p1	RMB99801.1	STRG.17684
STRG.71932.1.p14	XM_040663125.1	STRG.71932
STRG.48853.1.p1	KAJ7419772.1	STRG.48853
STRG.92081.1.p2	Z75013.1	STRG.92081
STRG.24320.1.p1	6-MCQ4078419.1	STRG.24320
STRG.85116.1.p2	11-EPP37534.1	STRG.85116
STRG.84179.1.p1	12-EPP37534.1	STRG.84179
STRG.39972.10.p1	3-XM_052705648.1	STRG.39972
STRG.107733.1.p2	6-XM_040695137.1	STRG.107733
STRG.100108.1.p1	KAK4807440.1	STRG.100108
STRG.4396.13.p2	XM_051780528.1	STRG.4396
STRG.22279.16.p6	KAK4807457.1	STRG.22279
STRG.79956.1.p1	2-SFW04942.1	STRG.79956
STRG.96462.35.p1	XM_040695338.2	STRG.96462
STRG.12166.1.p1	7-XM_040659592.1	STRG.12166
STRG.43980.1.p1	2-XM_046923367.1	STRG.43980
STRG.95492.1.p1	SGA02269.1	STRG.95492
STRG.72976.1.p2	SFW04955.1	STRG.72976
STRG.61036.1.p2	XM_046927130.1	STRG.61036
STRG.20219.7.p1	AAD49808.1	STRG.20219
STRG.28789.14.p1	3-MCQ4179290.1	STRG.28789
STRG.72944.2.p2	2-SFW04955.1	STRG.72944
STRG.110484.1.p1	XM_040656732.2	STRG.110484
STRG.90118.1.p1	XM_040648673.1	STRG.90118
STRG.74360.1.p3	XM_040695336.1	STRG.74360
STRG.68401.5.p8	KFV09946.1	STRG.68401
STRG.41216.2.p1	KFV05530.1	STRG.41216
STRG.58035.1.p1	XM_027466382.2	STRG.58035
STRG.60339.1.p1	XM_040680508.1	STRG.60339
STRG.94312.1.p1	XM_015272883.2	STRG.94312
STRG.51736.2.p1	4-MCQ4179290.1	STRG.51736
STRG.12935.1.p1	XM_048930384.1	STRG.12935
STRG.590.1.p1	8-XM_052665711.1	STRG.590
STRG.89128.1.p1	KFP36123.1	STRG.89128
STRG.82148.1.p1	5-MCQ4179290.1	STRG.82148
STRG.93605.1.p1	XM_040694719.1	STRG.93605
STRG.73663.1.p2	XM_031609710.1	STRG.73663
STRG.28937.2.p1	2-KFV05530.1	STRG.28937
STRG.57414.1.p3	EPJ33307.1	STRG.57414
STRG.97637.1.p1	XM_042835734.1	STRG.97637
STRG.84169.1.p1	13-EPP37534.1	STRG.84169
STRG.105364.2.p1	XM_040695310.2	STRG.105364
STRG.66887.3.p1	SGA26475.1	STRG.66887
STRG.100711.2.p1	KAI6060213.1	STRG.100711
STRG.104775.1.p2	XM_048932833.1	STRG.104775
STRG.85559.1.p2	14-EPP37534.1	STRG.85559
STRG.86651.5.p1	5-MCQ4179288.1	STRG.86651
STRG.85645.1.p1	XM_046905134.1	STRG.85645
STRG.27206.11.p1	XM_025146757.2	STRG.27206
STRG.92119.1.p2	XM_031611473.1	STRG.92119
STRG.110474.1.p2	5-XM_048947294.1	STRG.110474
STRG.108324.1.p1	7-XM_040695137.1	STRG.108324
STRG.72177.1.p2	2-KAK4816622.1	STRG.72177
STRG.99031.1.p1	NWI48887.1	STRG.99031
STRG.31892.1.p1	2-MCQ4187459.1	STRG.31892
STRG.80534.4.p1	7-MCQ4078419.1	STRG.80534
STRG.87742.1.p1	XM_040655882.1	STRG.87742
STRG.10828.1.p1	KAK4807145.1	STRG.10828
STRG.8515.10.p1	8-MCQ4078419.1	STRG.8515
STRG.17740.1.p2	XP_055203182.1	STRG.17740
STRG.94302.1.p1	KFZ67787.1	STRG.94302
STRG.26794.1.p1	6-MCQ4179290.1	STRG.26794
STRG.17664.1.p1	KAK2526342.1	STRG.17664
STRG.10684.1.p1	6-AAA49027.1	STRG.10684
STRG.69176.1.p4	EPP29996.1	STRG.69176
STRG.39703.1.p1	4-XM_052705648.1	STRG.39703
STRG.15600.11.p1	XM_040663119.1	STRG.15600
STRG.80811.9.p1	3-XM_046923367.1	STRG.80811
STRG.109800.1.p4	8-XM_040695137.1	STRG.109800
STRG.32493.1.p1	6-XM_048947294.1	STRG.32493
STRG.84880.1.p2	15-EPP37534.1	STRG.84880
STRG.6639.1.p1	2-AAR28760.1	STRG.6639
STRG.26009.41.p1	KAK4826301.1	STRG.26009
STRG.88267.1.p1	3-MCQ4187459.1	STRG.88267
STRG.111874.1.p8	XM_021380485.1	STRG.111874
STRG.79137.1.p1	WP_304470509.1	STRG.79137
STRG.97713.1.p1	XM_026658139.2	STRG.97713
STRG.84091.1.p2	16-EPP37534.1	STRG.84091
STRG.39000.1.p1	KAK4823530.1	STRG.39000
STRG.70059.13.p1	9-MCQ4078419.1	STRG.70059
STRG.29722.1.p4	3-AAR28760.1	STRG.29722
STRG.105768.15.p5	XM_040694868.2	STRG.105768
STRG.85481.1.p2	17-EPP37534.1	STRG.85481
STRG.87122.7.p1	10-MCQ4078419.1	STRG.87122
STRG.92109.1.p1	OPJ75243.1	STRG.92109
STRG.85635.1.p1	3-SFW04942.1	STRG.85635
STRG.78286.1.p1	3-XM_025144565.3	STRG.78286
STRG.3064.1.p1	9-XM_052665711.1	STRG.3064
STRG.102528.3.p1	XM_034072240.1	STRG.102528
STRG.88245.2.p1	2-AAC60280.1	STRG.88245
STRG.82917.1.p1	KAK4814166.1	STRG.82917
STRG.62110.4.p1	2-XM_040680508.1	STRG.62110
STRG.39131.10.p3	KAI1234804.1	STRG.39131
STRG.24050.1.p1	10-XM_052665711.1	STRG.24050
STRG.98084.1.p1	KAF6273769.1	STRG.98084
STRG.84860.1.p2	18-EPP37534.1	STRG.84860
STRG.69014.4.p2	XM_046931381.1	STRG.69014
STRG.63005.2.p2	XM_052679944.1	STRG.63005
STRG.84139.1.p2	19-EPP37534.1	STRG.84139
STRG.32397.1.p1	7-MCQ4179290.1	STRG.32397
STRG.59888.1.p1	KAK4829008.1	STRG.59888
STRG.7412.1.p2	KAK4806181.1	STRG.7412
STRG.45789.1.p1	KAK4811060.1	STRG.45789
STRG.19106.1.p1	XM_048942587.1	STRG.19106
STRG.32483.1.p1	7-XM_048947294.1	STRG.32483
STRG.99398.1.p1	XM_046934051.1	STRG.99398
STRG.66448.1.p1	XM_046939543.1	STRG.66448
STRG.43940.1.p1	XM_035325369.1	STRG.43940
STRG.91795.2.p1	DQ858296.1	STRG.91795
STRG.72936.1.p3	SFW05319.1	STRG.72936
STRG.104669.1.p1	XM_054808257.1	STRG.104669
STRG.106842.1.p1	EPJ32224.1	STRG.106842
STRG.84149.1.p3	20-EPP37534.1	STRG.84149
STRG.88257.1.p1	4-MCQ4187459.1	STRG.88257
STRG.108777.1.p1	2-SGA34039.1	STRG.108777
STRG.6561.1.p2	XM_040661657.1	STRG.6561
STRG.72792.1.p1	EPP36829.1	STRG.72792
STRG.62240.2.p1	XM_048067012.1	STRG.62240
STRG.52435.1.p1	XM_046921719.1	STRG.52435
STRG.21310.2.p1	KAK4828770.1	STRG.21310
STRG.90493.1.p1	NWU05803.1	STRG.90493
STRG.54304.4.p1	8-XM_048947294.1	STRG.54304
STRG.81363.1.p1	KAK4827280.1	STRG.81363
STRG.83298.1.p1	MCQ4187465.1	STRG.83298
STRG.11199.1.p1	9-XM_048947294.1	STRG.11199
STRG.87636.1.p1	KFR03816.1	STRG.87636
STRG.73427.3.p1	XM_021376501.1	STRG.73427
STRG.85471.1.p2	21-EPP37534.1	STRG.85471
STRG.99011.1.p1	XM_040693470.2	STRG.99011
STRG.108304.1.p5	3-XM_048959965.1	STRG.108304
STRG.110378.1.p1	2-SGA24805.1	STRG.110378
STRG.75748.15.p1	XM_015885882.1	STRG.75748
STRG.35980.1.p1	5-XM_052705648.1	STRG.35980
STRG.82907.1.p1	6-XM_052705648.1	STRG.82907
STRG.17558.1.p1	KAK4827340.1	STRG.17558
STRG.106063.1.p5	XM_040694884.2	STRG.106063
STRG.22717.12.p1	2-PKU48130.1	STRG.22717
STRG.73547.1.p1	XM_040539291.1	STRG.73547
STRG.107367.1.p5	9-XM_040695137.1	STRG.107367
STRG.111768.1.p1	KAK4807113.1	STRG.111768
STRG.84129.1.p2	22-EPP37534.1	STRG.84129
STRG.7402.1.p2	XM_040655884.1	STRG.7402
STRG.77579.1.p2	XM_040693765.2	STRG.77579
STRG.109550.1.p2	10-XM_040695137.1	STRG.109550
STRG.25354.1.p1	AAC60281.1	STRG.25354
STRG.95442.1.p3	KAK4806022.1	STRG.95442
STRG.36765.10.p1	2-SGA02269.1	STRG.36765
STRG.14740.2.p1	3-KFV05530.1	STRG.14740
STRG.41725.2.p1	7-AAA49027.1	STRG.41725
STRG.99474.1.p1	XM_040654009.1	STRG.99474
STRG.94659.1.p1	4-XM_025144565.3	STRG.94659
STRG.91215.15.p1	NWZ29916.1	STRG.91215
STRG.13276.1.p2	KAK4816718.1	STRG.13276
STRG.85529.1.p2	23-EPP37534.1	STRG.85529
STRG.74234.1.p1	EPP37096.1	STRG.74234
STRG.53815.1.p1	XM_040655204.1	STRG.53815
STRG.13585.5.p1	XM_021379675.1	STRG.13585
STRG.81799.9.p3	4-AAR28760.1	STRG.81799
STRG.28692.10.p1	XM_021386420.1	STRG.28692
STRG.65028.1.p1	XM_059486557.1	STRG.65028
STRG.36032.1.p1	KFV14947.1	STRG.36032
STRG.89493.1.p1	4-SFW04942.1	STRG.89493
STRG.19559.1.p1	2-KAK4810667.1	STRG.19559
STRG.84678.1.p2	24-EPP37534.1	STRG.84678
STRG.65864.6.p1	2-SFW05151.1	STRG.65864
STRG.84840.1.p2	25-EPP37534.1	STRG.84840
STRG.37422.1.p1	10-XM_048947294.1	STRG.37422
STRG.72906.1.p2	3-SFW04955.1	STRG.72906
STRG.102704.1.p1	XM_021383152.1	STRG.102704
STRG.25829.4.p1	XM_014947573.1	STRG.25829
STRG.2193.1.p1	11-XM_048947294.1	STRG.2193
STRG.102398.1.p1	XM_030006983.2	STRG.102398
STRG.23892.1.p4	XM_025149728.3	STRG.23892
STRG.84205.1.p2	26-EPP37534.1	STRG.84205
STRG.99378.1.p1	XM_046934115.1	STRG.99378
STRG.35303.2.p1	8-AAA49027.1	STRG.35303
STRG.25268.1.p1	KAK4830452.1	STRG.25268
STRG.74138.1.p1	prf||1704129A	STRG.74138
STRG.105094.2.p1	XM_030969882.1	STRG.105094
STRG.6347.2.p1	KAF6104406.1	STRG.6347
STRG.74070.1.p1	XM_052665314.1	STRG.74070
STRG.26225.16.p1	KAK4811049.1	STRG.26225
STRG.29462.1.p1	11-XM_052665711.1	STRG.29462
STRG.105388.10.p4	XM_031607117.1	STRG.105388
STRG.107982.1.p1	RLW96408.1	STRG.107982
STRG.62935.1.p1	KAI6076147.1	STRG.62935
STRG.10548.1.p1	XM_048932098.1	STRG.10548
STRG.5920.1.p1	2-KAK4810514.1	STRG.5920
STRG.85451.1.p1	27-EPP37534.1	STRG.85451
STRG.34258.3.p1	KYO40666.1	STRG.34258
STRG.57913.1.p1	KAK4825781.1	STRG.57913
STRG.78256.1.p1	5-XM_025144565.3	STRG.78256
STRG.76091.1.p2	XM_040646702.1	STRG.76091
STRG.37536.10.p1	XM_052790895.1	STRG.37536
STRG.93960.1.p1	3-SFW04806.1	STRG.93960
STRG.109520.1.p1	5-SGA34061.1	STRG.109520
STRG.14965.5.p2	XM_042835336.1	STRG.14965
STRG.84830.1.p2	28-EPP37534.1	STRG.84830
STRG.73179.2.p1	XM_021400378.1	STRG.73179
STRG.14666.1.p1	MCQ4021223.1	STRG.14666
STRG.23313.1.p1	PKU43055.1	STRG.23313
STRG.37182.1.p1	MCQ4078410.1	STRG.37182
STRG.90367.1.p1	EYE59133.1	STRG.90367
STRG.86052.1.p1	XM_048930104.1	STRG.86052
STRG.54406.1.p1	11-MCQ4078419.1	STRG.54406
STRG.17957.3.p1	XM_042888519.1	STRG.17957
STRG.84041.1.p1	XM_040655280.1	STRG.84041
STRG.102388.1.p2	NM_205119.1	STRG.102388
STRG.111910.1.p3	8-SGA33918.1	STRG.111910
STRG.82550.10.p1	XM_049794183.1	STRG.82550
STRG.94399.1.p1	XM_040654553.1	STRG.94399
STRG.90453.1.p1	4-SFW04806.1	STRG.90453
STRG.7604.27.p1	4-XM_046923367.1	STRG.7604
STRG.85431.1.p1	29-EPP37534.1	STRG.85431
STRG.29366.1.p1	KAK4826550.1	STRG.29366
STRG.92474.1.p1	PKK17096.1	STRG.92474
STRG.91843.1.p1	XM_019610979.2	STRG.91843
STRG.110184.1.p1	XM_052664424.1	STRG.110184
STRG.108034.1.p2	4-XM_048959965.1	STRG.108034
STRG.24483.1.p1	2-XM_040695594.2	STRG.24483
STRG.56513.1.p3	2-XM_048932098.1	STRG.56513
STRG.85441.1.p2	30-EPP37534.1	STRG.85441
STRG.78246.1.p1	KAJ7399487.1	STRG.78246
STRG.84734.1.p2	31-EPP37534.1	STRG.84734
STRG.93788.1.p1	12-MCQ4078419.1	STRG.93788
STRG.9484.4.p1	PKU46282.1	STRG.9484
STRG.111498.1.p1	6-SGA34061.1	STRG.111498
STRG.77539.1.p1	KAK4825966.1	STRG.77539
STRG.100546.7.p2	XM_034072107.1	STRG.100546
STRG.12541.36.p1	KAK4810956.1	STRG.12541
STRG.109510.1.p1	3-SGA34039.1	STRG.109510
STRG.93229.1.p1	PKU32430.1	STRG.93229
STRG.84590.1.p1	32-EPP37534.1	STRG.84590
STRG.59694.1.p1	EPP30052.1	STRG.59694
STRG.4184.1.p1	KAK4825806.1	STRG.4184
STRG.23303.1.p1	9-AAA49027.1	STRG.23303
STRG.97982.1.p1	XP_025950351.1	STRG.97982
STRG.18764.1.p1	KFR17737.1	STRG.18764
STRG.77395.1.p2	KAK4815540.1	STRG.77395
STRG.2173.1.p2	KAK4829425.1	STRG.2173
STRG.32360.8.p2	XM_054396777.1	STRG.32360
STRG.53468.1.p11	KFP63231.1	STRG.53468
STRG.99434.1.p1	5-SFW04806.1	STRG.99434
STRG.34981.2.p1	XM_044453287.1	STRG.34981
STRG.95096.1.p3	SGA02777.1	STRG.95096
STRG.111025.1.p2	11-XM_040695137.1	STRG.111025
STRG.45681.1.p1	XM_021382551.1	STRG.45681
STRG.99358.1.p1	XM_046904842.1	STRG.99358
STRG.90443.1.p1	13-MCQ4078419.1	STRG.90443
STRG.110963.1.p1	9-SGA33918.1	STRG.110963
STRG.75708.17.p1	XM_009899923.2	STRG.75708
STRG.103768.1.p1	XM_015850859.2	STRG.103768
STRG.99290.1.p2	XM_046934127.1	STRG.99290
STRG.5814.1.p1	10-AAA49027.1	STRG.5814
STRG.5660.1.p4	XM_021391553.1	STRG.5660
STRG.109973.1.p3	5-XM_048959965.1	STRG.109973
STRG.107962.1.p1	4-SGA02415.1	STRG.107962
STRG.59904.1.p3	AF323706.1	STRG.59904
STRG.84724.1.p1	2-WP_279255902.1	STRG.84724
STRG.103592.2.p2	XM_040695065.2	STRG.103592
STRG.77375.1.p2	2-KAK4815540.1	STRG.77375
STRG.68245.1.p1	2-XM_019622144.2	STRG.68245
STRG.84648.1.p1	33-EPP37534.1	STRG.84648
STRG.2307.1.p1	XM_042869383.1	STRG.2307
STRG.111737.43.p1	2-KAK4807113.1	STRG.111737
STRG.14722.1.p1	KAK4819889.1	STRG.14722
STRG.23658.2.p1	7-XM_052705648.1	STRG.23658
STRG.82000.1.p1	5-XM_046923367.1	STRG.82000
STRG.109270.1.p1	7-SGA34061.1	STRG.109270
STRG.12711.1.p1	2-XM_048930342.1	STRG.12711
STRG.111574.1.p1	4-SGA34039.1	STRG.111574
STRG.18754.1.p1	2-XM_052701080.1	STRG.18754
STRG.35450.5.p4	KAK4825361.1	STRG.35450
STRG.63286.1.p1	2-EPP37096.1	STRG.63286
STRG.57479.2.p1	KAK4829533.1	STRG.57479
STRG.20345.1.p1	KAK4810854.1	STRG.20345
STRG.25314.1.p1	KAK4807004.1	STRG.25314
STRG.13857.10.p1	4-KFV05530.1	STRG.13857
STRG.77507.2.p1	XM_040694805.1	STRG.77507
STRG.45671.1.p4	CAG32656.1	STRG.45671
STRG.78929.1.p1	2-AAC60281.1	STRG.78929
STRG.105931.1.p1	XM_059731493.1	STRG.105931
STRG.74108.1.p1	XM_040690911.2	STRG.74108
STRG.78699.1.p2	3-SGA02269.1	STRG.78699
STRG.85181.1.p2	34-EPP37534.1	STRG.85181
STRG.78216.1.p1	4-SGA02269.1	STRG.78216
STRG.13236.1.p1	12-XM_052665711.1	STRG.13236
STRG.98727.1.p2	XM_050337543.1	STRG.98727
STRG.105779.1.p3	NWZ60787.1	STRG.105779
STRG.109887.1.p1	12-XM_040695137.1	STRG.109887
STRG.110250.1.p1	13-XM_040695137.1	STRG.110250
